surface_id,surface_name,screen_position,trigger,primary_source_file,primary_source_key,primary_source_fields,secondary_source_file,secondary_source_key,secondary_source_fields,render_target_in_code,operator_edit_guide
surface_01,특약명 하이라이트,특약 행의 특약명/설명 내부,스크롤 최초 노출 + 클릭,term_dictionary_normalized.csv,term_id,"term_label|aliases_csv",rider_catalog_normalized.csv,product_rider_code,"linked_term_ids|minor_category","app.js > highlightTerms() / .term-highlight","용어 자체 표현을 바꾸려면 term_dictionary, 어떤 특약에 붙일지 바꾸려면 rider_catalog를 수정"
surface_02,용어 설명 bottom sheet,화면 하단 bottom sheet,term_highlight click,term_dictionary_normalized.csv,term_id,"plain_summary|why_it_matters|fit_case|caution|detail_example|compare_target_ids_csv|legal_notice",rider_catalog_normalized.csv,product_rider_code,linked_term_ids,"app.js > openTermSheet()","용어 설명 본문은 term_dictionary에서 수정"
surface_03,특약 행 설명 문구,특약 행 본문 설명,기본 노출,rider_display_copy_normalized.csv,product_rider_code,display_description,rider_catalog_normalized.csv,product_rider_code,datajs_label,"app.js > renderRiderRow() > rider.description","특약 행의 짧은 설명은 rider_display_copy에서 수정"
surface_04,특약 금액 선택 select,특약 행 오른쪽 select,기본 노출,rider_option_catalog_normalized.csv,product_rider_code,"option_value_normalized|option_order|is_default_option",rider_runtime_seed_normalized.csv,product_rider_code,default_selected_amount,"app.js > renderRiderRow() > rider.options / rider.selectedAmount","선택지 목록은 rider_option_catalog, 초기 선택값은 rider_runtime_seed에서 수정"
surface_05,특약별 비교 보기 링크,특약 행 하단 inline action,기본 노출,rider_catalog_normalized.csv,product_rider_code,linked_comparison_id,comparison_mapping_normalized.csv,comparison_id,left_title,"app.js > renderRiderRow()","특약별 비교 대상 연결은 rider_catalog에서 수정"
surface_06,비교 drawer,우측/전면 비교 레이어,비교 보기 클릭,comparison_mapping_normalized.csv,comparison_id,"left_title|left_fit_case|right_title|right_fit_case|difference_point_1|difference_point_2|difference_point_3|legal_notice",rider_catalog_normalized.csv,product_rider_code,linked_comparison_id,"app.js > openComparison()","비교 문구는 comparison_mapping에서 수정"
surface_07,sticky guide bar 제목/본문,하단 보험료 고정 영역 바로 위,toggle_on|toggle_off|amount_change,event_guidance_normalized.csv,event_id,"title_template|message_template|trigger_condition",rider_helper_normalized.csv,datajs_rider_id,helper_text,"app.js > showGuide()","공통 가이드는 event_guidance, 특약별 맥락 문구는 rider_helper에서 수정"
surface_08,상담 연결 카드,상담 연결 레이어,consult_open,consult_template_normalized.csv,template_id,"title|intro_copy|context_block_title|dynamic_field_*|primary_cta|legal_notice",rider_display_copy_normalized.csv 또는 comparison_mapping_normalized.csv,"product_rider_code 또는 comparison_id","consult_topic 또는 difference_point_1","app.js > openConsult()","고정 문구는 consult_template, 상담 맥락명은 rider_display_copy, 비교 포인트는 comparison_mapping에서 수정"
surface_09,특약 helper 맥락문구,sticky guide bar 본문 뒷부분,toggle_on|toggle_off|amount_change,rider_helper_normalized.csv,datajs_rider_id,helper_text,rider_catalog_normalized.csv,product_rider_code,datajs_rider_id,"app.js > showGuide()","특약별로 다르게 붙는 짧은 맥락 문구는 rider_helper에서 수정"
surface_10,특약별 월 보험료 표시,특약 행 오른쪽 fee 영역,기본 노출,rider_runtime_seed_normalized.csv,product_rider_code,display_monthly_premium_krw,rider_runtime_seed_normalized.csv,product_rider_code,default_enabled,"app.js > renderRiderRow() > rider.premium","현재 프로토타입은 static seed. 운영계에서는 계산 엔진 결과값으로 대체 권장"
